date,id,supply,demand
202302,39045,99.18444166,99.87452949
202302,36055,99.93726474,98.99623589
202302,9003,98.87076537,99.81179423
202302,25009,98.99623589,99.30991217
202302,36117,98.80803011,97.92973651
202302,50007,99.62358846,96.61229611
202302,25013,99.24717691,96.98870765
202302,39169,99.5608532,95.54579674
202302,9013,95.35759097,99.68632371
202302,33011,95.35759097,99.62358846
202302,39127,98.61982434,95.92220828
202302,36109,99.81179423,94.54203262
202302,39083,96.98870765,97.17691343
202302,39117,96.54956085,97.11417817
202302,9015,95.10664994,98.36888331
202302,39049,96.0476788,95.35759097
202302,39103,92.09535759,98.61982434
202302,39089,93.53826851,96.54956085
202302,42095,97.30238394,92.78544542
202302,39041,91.59347553,98.43161857
202302,36073,98.61982434,91.21706399
202302,23023,91.02885822,98.74529486
202302,34027,96.0476788,93.41279799
202302,39139,93.28732748,96.17314931
202302,9009,92.09535759,96.9259724
202302,44003,96.54956085,91.59347553
202302,18157,91.02885822,95.23212045
202302,25017,99.1217064,86.88833124
202302,47001,92.72271016,93.03638645
202302,19155,98.36888331,87.20200753
202302,51035,92.78544542,92.40903388
202302,34035,91.84441656,93.28732748
202302,39017,95.35759097,89.71141782
202302,29051,93.16185696,91.65621079
202302,25005,94.79297365,88.89585947
202302,25027,91.02885822,92.65997491
202302,55027,90.08782936,93.47553325
202302,39133,86.32371393,97.23964868
202302,25021,97.3651192,86.01003764
202302,34007,93.78920954,89.20953576
202302,39085,89.71141782,93.22459222
202302,39157,93.16185696,89.46047679
202302,30013,87.57841907,94.85570891
202302,44007,93.78920954,88.58218319
202302,47163,83.62609787,98.30614806
202302,39005,86.32371393,95.42032622
202302,23001,82.62233375,98.49435383
202302,6083,90.27603513,90.27603513
202302,55087,81.61856964,98.87076537
202302,26111,82.62233375,97.42785445
202302,18127,88.64491844,91.27979925
202302,39109,88.39397742,90.96612296
202302,42077,94.79297365,84.50439147
202302,51143,88.01756587,90.9033877
202302,17111,94.79297365,84.06524467
202302,55079,96.73776663,82.12045169
202302,34039,96.73776663,81.93224592
202302,55059,82.62233375,95.98494354
202302,17179,84.88080301,93.72647428
202302,39057,83.37515684,94.91844417
202302,37027,82.05771644,95.16938519
202302,55071,78.41907152,98.18067754
202302,34005,84.62986198,91.84441656
202302,18177,85.50815558,90.4642409
202302,51680,96.98870765,78.79548306
202302,39027,84.37892095,91.15432873
202302,47093,86.63739021,88.51944793
202302,55073,77.60351317,97.49058971
202302,33015,77.60351317,96.86323714
202302,39025,91.02885822,82.68506901
202302,39143,75.97239649,97.30238394
202302,34015,79.67377666,93.53826851
202302,39113,84.88080301,88.20577164
202302,21185,86.63739021,86.19824341
202302,18085,91.84441656,80.80301129
202302,6031,82.49686324,90.08782936
202302,29189,92.53450439,80.05018821
202302,51009,90.77791719,81.61856964
202302,34023,95.35759097,76.78795483
202302,25023,78.41907152,93.35006274
202302,39093,79.48557089,91.90715182
202302,8059,98.18067754,72.5846926
202302,51155,77.60351317,92.84818068
202302,37049,82.62233375,87.8293601
202302,55139,71.20451694,99.18444166
202302,27123,94.29109159,75.84692597
202302,20169,92.09535759,77.22710163
202302,23005,70.3889586,98.80803011
202302,21111,96.0476788,73.08657466
202302,17043,93.28732748,75.78419072
202302,39153,85.50815558,83.37515684
202302,55025,78.92095358,89.96235885
202302,42061,86.63739021,81.80677541
202302,51590,93.78920954,74.52948557
202302,39063,72.1455458,96.0476788
202302,39151,86.63739021,81.43036386
202302,6101,78.41907152,89.5859473
202302,34031,90.08782936,77.79171895
202302,47009,74.90589711,92.97365119
202302,44001,75.15683814,92.72271016
202302,18043,90.52697616,77.03889586
202302,39019,83.37515684,84.12797993
202302,51121,84.88080301,82.55959849
202302,17089,94.79297365,72.52195734
202302,55089,81.17942284,86.13550816
202302,39039,80.36386449,86.70012547
202302,18069,82.18318695,84.7553325
202302,39141,67.56587202,99.05897114
202302,51067,73.27478043,93.09912171
202302,51770,81.49309912,84.69259724
202302,55105,69.13425345,97.05144291
202302,18039,89.33500627,76.72521957
202302,18137,94.66750314,71.2672522
202302,17167,76.28607277,89.52321205
202302,27079,100,65.80928482
202302,26155,79.67377666,86.0727729
202302,6111,92.09535759,73.52572146
202302,21015,87.57841907,78.04265998
202302,48381,92.65997491,72.71016311
202302,55123,86.63739021,78.41907152
202302,36069,80.36386449,84.25345044
202302,17201,72.1455458,92.47176913
202302,1001,99.43538269,65.11919699
202302,18087,97.92973651,66.24843162
202302,42091,78.92095358,85.1944793
202302,26125,85.50815558,78.10539523
202302,39051,76.28607277,87.26474279
202302,26115,71.20451694,92.28356336
202302,17197,93.78920954,69.69887077
202302,55063,67.56587202,95.85947302
202302,39155,74.09033877,89.08406525
202302,47179,64.68005019,97.99247177
202302,39099,75.15683814,87.32747804
202302,18003,74.90589711,87.3902133
202302,42109,67.56587202,94.73023839
202302,6067,92.09535759,70.07528231
202302,34013,90.77791719,71.14178168
202302,20155,91.84441656,70.01254705
202302,51760,96.98870765,64.74278545
202302,55101,81.61856964,79.92471769
202302,56037,82.62233375,78.67001255
202302,27147,73.08657466,88.14303639
202302,17097,91.02885822,70.13801757
202302,48183,76.28607277,84.44165621
202302,26055,86.32371393,74.40401506
202302,17137,66.81304893,93.85194479
202302,39145,93.78920954,66.43663739
202302,39095,92.09535759,68.00501882
202302,18067,73.27478043,86.38644918
202302,18057,82.18318695,77.47804266
202302,42017,65.37013802,94.16562108
202302,55031,61.7314931,97.55332497
202302,12073,94.29109159,64.93099122
202302,18023,93.53826851,65.55834379
202302,39101,71.83186951,87.13927227
202302,30111,73.27478043,85.44542033
202302,47019,60.28858218,98.2434128
